ID	parent	snomed_name	snomed_code	snomed_partial_code	is_direct
Гуайява	Food	Guava (substance)	227429001	227429001	0
Даленевосточная сардина	Food	Sardine (substance), Allergy to fish (finding)	227136008,4	227136008,4	0
Дальневосточная навага	Food	Eleginus gracilis (organism), Allergy to fish (finding)	71401006, 417532002	71401006, 417532002	0
Двустворчатый моллюск	Food	Allergy to mollusk (finding)	712842007	0	1
Двустворчатый морской моллюск	Food	Allergy to mollusk (finding)	712842007	0	1
Детское питание 	Food	Baby food (substance)	227983006	227983006	0
Дикая утка	Food	Duck - meat (substance)	226963000	226963000	0
Дикий кабан	Food	Sus scrofa (organism), Allergy to meat (finding)	78678003, 703931001	78678003, 703931001	0
Дикий рис	Food	Rice (substance)	67324005	67324005	0
Дорада	Food	Allergy to fish (finding)	417532002	417532002	0
Дрожжи	Food	Yeast (substance)	412534006	412534006	0
Дрожжи пекарские	Food	Allergy to yeast (finding)	860956003	860956003	0
Дрожжи пивные	Food	Allergy to yeast (finding)	860956003	860956003	0
Душистый перец 	Food	Allspice (substance)	227375005	227375005	0
Душица	Food	Oregano (substance)	227407000	227407000	0
Дыня	Food	Melon (substance)	260177005	260177005	0
Европейская солея	Food	Family Soleidae - sole (organism), Allergy to fish (finding)	107509006,4	107509006,4	0
Европейский анчоус	Food	Anchovy (substance)	735337006	735337006	0
Ежевика	Food	Blackberries (substance)	227418000	227418000	0
желтое	Food	Yellow color (qualifier value)	371244009	371244009	0
желток	Food	Egg yolk (substance)	256442007	256442007	0
Желток куриного яйца вареный	Food	Egg yolk (substance)	256442007	256442007	0
животный белок	Food	Allergy to animal protein (finding)	717234006	0	1
животный жир	Food	Animal fat (substance)	13150000	13150000	0
Заменитель сахара	Food	Food sweetener (substance)	228110004	228110004	0
Заяц	Food	Allergy to meat (finding)	703931001	703931001	0
Зеленая рожь	Food	Allergy to rye (finding)	418184004	0	1
зеленое	Food	Green color (qualifier value)	371246006	371246006	0
Зеленый горошек	Food	Allergy to pea (finding)	767468001	0	1
Зеленый перец	Food	Piper nigrum (unripe seed) diagnostic allergen extract (product)	411760008	411760008	0
Зеленый чай	Food	Green tea (substance)	412194001	412194001	0
земляника	Food	Strawberry (substance)	102261002	102261002	0
зерно	Food	Allergy to corn (finding)	419573007	0	1
злаковые	Food	Cereal (substance)	23182003	23182003	0
иваси	Food	Sardine (substance)	227136008	227136008	0
