ID	parent	snomed_name	snomed_code	snomed_partial_code	is_direct
Перец болгарский 	Food	Capsicum annuum diagnostic allergen extract (product)	411648003	411648003	0
Перец болгарский зеленый	Food	Capsicum annuum diagnostic allergen extract (product)	411648003	411648003	0
Перец зеленый	Food	Piper nigrum (unripe seed) diagnostic allergen extract (product)	411760008	411760008	0
Перец сладкий	Food	Capsicum annuum diagnostic allergen extract (product)	411648003	411648003	0
Перец чили	Food	Chili pepper (substance)	710040007	710040007	0
Перловая крупа	Food	Pearl barley (substance)	226721008	226721008	0
Персик	Food	Peach (substance)	735049002	735049002	0
Петрушка	Food	Parsley (substance)	735048005	735048005	0
печень	Food	Liver - meat (substance)	226991008	226991008	0
Печень говяжья	Food	Liver - meat (substance), Allergy to beef (finding)	226991008, 703930000	226991008, 703930000	0
печенье	Food	Cookie and/or cracker (substance)	226539001	226539001	0
пиво	Food	Beer (substance)	53410008	53410008	0
Пикша	Food	Haddock (substance)	735033004	735033004	0
Пименто	Food	 Cheese (substance)	102264005	102264005	0
пища	Food	Allergy to food (finding)	414285001	0	1
пищевая	Food	Allergy to food (finding)	414285001	0	1
пищевая аллергия	Food	Allergy to food (finding)	414285001	0	1
пищевой	Food	Allergy to food (finding)	414285001	0	1
пищевой краситель	Food	Food coloring (substance)	50825000	50825000	0
пищевой продукт	Food	Allergy to food (finding)	414285001	0	1
пищевой аллерген	Food	Allergy to food (finding)	414285001	0	1
пищевые добавки	Food	Nutritional supplement (substance)	373453009	373453009	0
Плоды рожкового дерева	Food	Carob (substance)	412601002	412601002	0
Плоды черемухи	Food	Berry (substance)	63045006	63045006	0
полба	Food	Allergy to wheat (finding)	420174000	0	1
Полевой салат	Food	Green salad (substance)	227938005	227938005	0
Помело	Food	Pomelo (substance)	227442001	227442001	0
Помидор	Food	Allergy to tomato (finding)	418779002	0	1
прикорм	Food	Baby food (substance)	227983006	227983006	0
приправа	Food	Seasoning (substance)	227553009	227553009	0
продукт	Food	Allergy to food (finding)	414285001	0	1
просо	Food	Common millet (substance)	710220009	710220009	0
Пшеница	Food	Allergy to wheat (finding)	420174000	0	1
Пшеница зерно	Food	Allergy to wheat (finding)	420174000	0	1
Пшеница спельта	Food	Allergy to wheat (finding)	420174000	0	1
Пшеница спельта полба	Food	Allergy to wheat (finding)	420174000	0	1
Пшеничная крупа	Food	Allergy to wheat (finding)	420174000	0	1
Пшеничная мука	Food	Wheat flour (substance)	229944000	229944000	0
Пшеничные отруби	Food	Wheat bran (substance)	412533000	412533000	0
Пшенная крупа	Food	Common millet (substance)	710220009	710220009	0
Пшено просо	Food	Common millet (substance)	710220009	710220009	0
пюре	Food	Mashed food (substance)	4,42E+14	4,42E+14	0
Радиккио	Food	Green salad (substance)	227938005	227938005	0
радужная форель	Food	Salmo gairdneri (organism), Allergy to fish (finding)	54955003, 417532002	54955003, 417532002	0
Раки	Food	Crayfish (substance)	735972003	735972003	0
ракообразные	Food	Crayfish (substance)	735972003	735972003	0
Ревень	Food	Rhubarb (substance)	726750009	726750009	0
Редис	Food	Radish (substance)	256325000	256325000	0
Редька	Food	Radish (substance)	256325000	256325000	0
Редька зеленая	Food	Radish (substance)	256325000	256325000	0
резанец	Food	Allium schoenoprasum (organism)	24833007	24833007	0
ренклод	Food	Greengage (substance)	227428009	227428009	0
Репа	Food	Turnip (substance)	227275007	227275007	0
Ржаная мука	Food	Rye flour (substance)	229940009	229940009	0
Рис	Food	Rice (substance)	67324005	67324005	0
Рисовая крупа	Food	Rice (substance)	67324005	67324005	0
Рожь	Food	Allergy to rye (finding)	418184004	0	1
Рожь зерно	Food	Allergy to rye (finding)	418184004	0	1
Розмарин	Food	 Rosemary (substance)	227410007	227410007	0
ройбос	Food	Tea (substance)	16313001	16313001	0
Ройбос чай	Food	Tea (substance)	16313001	16313001	0
рокет	Food	Green salad (substance)	227938005	227938005	0
Рокет-салат	Food	Green salad (substance)	227938005	227938005	0
рокфор	Food	Roquefort cheese (substance)	226840009	226840009	0
ром	Food	Rum (substance)	226054000	226054000	0
ромашка	Food	Product containing only chamomile extract (medicinal product)	775155001	775155001	0
Ромашковый чай	Food	Chamomile extract (substance)	256214007	256214007	0
Ромбовидная камбала	Food	Turbot (substance)	227105000	227105000	0
Ростки бамбука	Food	Bamboo shoot (substance)	710224000	710224000	0
рыба	Food	Allergy to fish (finding)	417532002	0	1
Рыба-меч	Food	Swordfish (substance)	726731009	726731009	0
Рябина	Food	Rowan berries (substance)	264335006	264335006	0
Рябина черноплодная	Food	Rowan berries (substance)	264335006	264335006	0
Ряженка	Food	fermented baked milk	0	0	3
Сазан	Food	Carp (substance)	726763003	726763003	0
Сазан речной	Food	Carpiodes carpio (organism), Allergy to fish (finding)	7978004, 417532002	7978004, 417532002	0
Сайда	Food	Boreogadus saida (organism), Allergy to fish (finding)	51135004, 417532002	51135004, 417532002	0
Сайра	Food	Cololabis saira (organism), Allergy to fish (finding)	112565000, 417532002	112565000, 417532002	0
Салат	Food	Lettuce (substance)	735042006	735042006	0
Салат айсберг	Food	Lettuce (substance)	735042006	735042006	0
Салат ромэн	Food	Lettuce (substance)	735042006	735042006	0
Салат рукола	Food	Lettuce (substance)	735042006	735042006	0
Салат-латук	Food	Lettuce (substance)	735042006	735042006	0
Сардина 	Food	Sardine (substance)	227136008	227136008	0
Сардина (Иваси)	Food	Sardine (substance)	227136008	227136008	0
Сардина европейская	Food	Sardine (substance)	227136008	227136008	0
Сахар	Food	Simple carbohydrate (substance)	74801000	74801000	0
Сахар тростниковый	Food	Brown sugar (substance)	230055000	230055000	0
Сахар тростниковый темный	Food	Brown sugar (substance)	230055000	230055000	0
Свежий кокос	Food	Fresh coconut (substance)	227496002	227496002	0
Свекла	Food	Beetroot (substance)	227220000	227220000	0
Свекла обыкновенная	Food	Beetroot (substance)	227220000	227220000	0
Свекла столовая корнеплод	Food	Beetroot (substance)	227220000	227220000	0
Свинина	Food	Allergy to pork insulin (finding)	788164004	0	1
Свинина	Food	Allergy to pork (finding)	417918006	0	1
Северная креветка	Food	Allergy to shrimp (finding)	419972009	0	1
Селедка	Food	Herring (substance)	735035006	735035006	0
Сельдерей	Food	Allergy to celery (finding)	712843002	0	1
Сельдь	Food	Herring (substance)	735035006	735035006	0
Сельдь 	Food	Fish (organism)	 90580008	 90580008	0
Сельдь иваси	Food	Herring (substance)	735035006	735035006	0
Семга	Food	Allergy to salmon calcitonin (finding)	294840004	0	1
Семена 	Food	Allergy to seed (finding)	419101002	0	1
Семена подсолнечника	Food	Sunflower seed (substance)	260205009	260205009	0
Семена фенхеля	Food	Fennel seed (substance)	227397007	227397007	0
семечки	Food	Sunflower seed (substance)	260205009	260205009	0
семечки тыквенные	Food	Pumpkin seed (substance)	227514000	227514000	0
семя	Food	Allergy to seed (finding)	419101002	0	1
семя люпина	Food	Allergy to lupine seed (finding)	782575000	0	1
сидр	Food	Cider (substance)	226025006	226025006	0
сироп	Food	Syrup (substance)	229862008	229862008	0
Скорода	Food	Allium schoenoprasum (organism)	24833007	24833007	0
Скорцонера испанская	Food	Scorzonera Spanish	0	0	3
Скумбрия	Food	Mackerel (substance)	735043001	735043001	0
Скумбрия атлантическая	Food	Scomber scombrus (organism), Allergy to fish (finding)	86980008, 417532002	86980008, 417532002	0
Сладкая люпиновая мука	Food	Lupin flour (substance)	719108000	719108000	0
Сладкий каштан	Food	Chestnut (substance)	260188004	260188004	0
сладкий перец	Food	Capsicum (substance)	421556008	421556008	0
сладкое	Food	Sugar candy (substance)	227620005	227620005	0
сладости	Food	Sugar candy (substance)	227620005	227620005	0
слива	Food	Plum (substance)	735051003	735051003	0
сливки	Food	Cream (substance)	255621006	255621006	0
смесь НАН	Food	Baby food (substance)	227983006	227983006	0
Сметана	Food	Soured cream (substance)	226801004	226801004	0
смородина	Food	Currants (substance)	227453007	227453007	0
Соевая крупа	Food	Soya bean (substance)	256355007	256355007	0
Соевая мука	Food	Soya flour (substance)	229941008	229941008	0
Соевое молоко	Food	Soya milk (substance)	226793001	226793001	0
Соевые бобы	Food	Soya bean (substance)	256355007	256355007	0
соевый белок	Food	Allergy to soy protein (finding)	782594005	0	1
Соевый лецитин	Food	Soy lecithin (substance)	710206002	710206002	0
Соевый протеин	Food	Allergy to soy protein (finding)	782594005	0	1
Соевый творог тофу	Food	Tofu (substance)	227365007	227365007	0
солея	Food	Family Soleidae - sole (organism), Allergy to fish (finding)	107509006, 417532002	107509006, 417532002	0
Солод	Food	Malt (substance)	710180001	710180001	0
солодка	Food	Allergy to licorice (finding)	293647009	0	1
Сом	Food	Catfish (substance)	726762008	726762008	0
Сом обыкновенный	Food	Catfish (substance)	726762008	726762008	0
Сорбит	Food	Sorbitol (substance)	19839007	19839007	0
Соя	Food	Allergy to soy protein (finding)	782594005	0	1
Спаржа	Food	Asparagus (substance)	227218003	227218003	0
спельта	Food	Triticum spelta (organism)	 83166007	 83166007	0
спиртной напиток	Food	Alcoholic beverage (substance)	53527002	53527002	0
Спортивное питание 	Food	Sports nutrition	0	0	3
Ставрида	Food	Trachurus lathami (organism), Allergy to fish (finding)	23356003, 417532002	23356003, 417532002	0
Стевия 	Food	Stevia (organism)	419710000	419710000	0
Стручковая фасоль	Food	Green bean (substance)	256318007	256318007	0
стручковый перец	Food	Capsicum (substance)	421556008	421556008	0
Судак	Food	Family Percidae - perch (organism), Allergy to fish (finding)	107437001, 417532002	107437001, 417532002	0
суп	Food	Soup (substance)	227566009	227566009	0
сухари	Food	Cracker (substance)	226543002	226543002	0
сухарики	Food	Cracker (substance)	226543002	226543002	0
сухое молоко	Food	Dried skimmed cow's milk (substance)	226778000	226778000	0
сухие сливки	Food	Dried skimmed cow's milk (substance)	226778000	226778000	0
Сухой яичный белок	Food	Dried egg (substance)	226881001	226881001	0
Сушеный кокос	Food	Desiccated coconut (substance)	227498001	227498001	0
Сушеный отварной горох	Food	Dried boiled peas (substance)	227372008	227372008	0
сывороточны белок	Food	Protein (substance)	88878007	88878007	0
Сывороточный протеин	Food	Protein (substance)	88878007	88878007	0
сыр	Food	Allergy to cheese (finding)	300914000	0	1
Сыр аппенцеллер	Food	Allergy to cheese (finding)	300914000	300914000	0
Сыр гауда	Food	Gouda cheese (substance)	226832003	226832003	0
Сыр голландский	Food	Allergy to cheese (finding)	300914000	300914000	0
Сыр камамбер	Food	Camembert cheese (substance)	226856004	226856004	0
Сыр леердам	Food	Allergy to cheese (finding)	300914000	300914000	0
Сыр мааздам	Food	Allergy to cheese (finding)	300914000	300914000	0
Сыр моцарелла	Food	Mozzarella cheese (substance)	226837009	226837009	0
Сыр овечий	Food	Allergy to cheese (finding)	300914000	300914000	0
Сыр пармезан	Food	Parmesan cheese (substance)	226838004	226838004	0
Сыр рокфор	Food	Roquefort cheese (substance)	226840009	226840009	0
Сыр тильзит	Food	Allergy to cheese (finding)	300914000	300914000	0
Сыр чеддер	Food	Cheddar cheese (substance)	226820002	226820002	0
Сыр честер	Food	Allergy to cheese (finding)	300914000	300914000	0
Сыр швейцарский	Food	Allergy to cheese (finding)	300914000	300914000	0
Сыр эдам	Food	Edam cheese (substance)	226828009	226828009	0
Сыр эмменталер	Food	Emmental cheese (substance)	226830006	226830006	0
сырок	Food	Curds (substance)	225774006	225774006	0
Тархун	Food	Artemisia dracunculus diagnostic allergen extract (product)	411627000	411627000	0
таурин	Food	Taurine (substance), Allergy to substance (finding)	10944007, 419199007	10944007, 419199007	0
Творог	Food	Cottage cheese	226814003	226814003	0
текила	Food	Vodka (substance)	226064009	226064009	0
Телятина	Food	Veal (substance)	226952003	226952003	0
терн	Food	Sloe (substance)	771582007	771582007	0
Тигровая креветка	Food	Allergy to shrimp (finding)	4199720090	0	1
Тилапия	Food	Tilapia aurea (organism), Allergy to fish (finding)	17878000, 417532002	17878000, 417532002	0
тильзит	Food	Allergy to cheese (finding)	300914000	300914000	0
Тимьян	Food	Thyme (substance)	227413009	227413009	0
томат	Food	Allergy to tomato (finding)	418779002	0	1
Тофу	Food	Tofu (substance)	227365007	227365007	0
Трава мяты перечной	Food	Mentha piperita (organism)	103599003	103599003	0
Треска	Food	Cod (substance)	735245003	735245003	0
Треска атлантическая	Food	Gadus morhua (organism), Allergy to fish (finding)	55264007, 417532002	55264007, 417532002	0
Тригла	Food	Family Triglidae - searobin (organism), Allergy to fish (finding)	107499001, 417532002	107499001, 417532002	0
Тунец	Food	Tuna fish (substance)	227144008	227144008	0
Турецкий горох	Food	Chick peas (substance)	227346004	227346004	0
Тутовник	Food	Mulberries (substance)	227434002	227434002	0
Тыква	Food	Pumpkin (substance)	227260004	227260004	0
Тыква обыкновенная	Food	Pumpkin (substance)	227260004	227260004	0
Тыквенные семечки	Food	Pumpkin seed (substance)	227514000	227514000	0
Тюрбо	Food	Turbot (substance)	227105000	227105000	0
Угорь	Food	Anguilla (organism), Allergy to fish (finding)	74741004, 417532002	74741004, 417532002	0
Удильщик	Food	Allergy to fish (finding)	417532002	417532002	0
Укроп	Food	Dill (substance)	256331002	256331002	0
Улитка	Food	Snail (organism)	15838006	15838006	0
устрица	Food	Allergy to oyster (finding)	419967000	0	1
Устрицы	Food	Allergy to oyster (finding)	419967000	0	1
утка	Food	Duck - meat (substance)	226963000	226963000	0
Фазан	Food	Pheasant - meat (substance)	226976006	226976006	0
Фанта	Food	Sugar sweetened beverage (substance)	818989004	818989004	0
Фасоль 	Food	Allergy to bean (finding)	703925004	0	1
Фасоль белая	Food	White bean (substance)	260168003	260168003	0
Фасоль вьющаяся	Food	Allergy to bean (finding)	703925004	0	1
Фасоль обыкновенная	Food	Allergy to bean (finding)	703925004	0	1
Фасоль спаржевая	Food	Asparagus (substance)	227218003	227218003	0
Фасоль стручковая	Food	Green bean (substance)	256318007	256318007	0
Фейхоа	Food	Berry (substance)	63045006	63045006	0
Фенхель	Food	Fennel (substance)	227396003	227396003	0
Физалис	Food	Physalis (organism)	10554001	10554001	0
Физалис перуанский	Food	Physalis peruviana (organism)	49154006	49154006	0
Финики	Food	Dates - food (substance)	227423000	227423000	0
Фисташки	Food	Pistachio nut (substance)	227512001	227512001	0
Форель	Food	Salmo trutta (organism), Allergy to fish (finding)	78884003, 417532002	78884003, 417532002	0
Форель радужная	Food	Salmo gairdneri (organism), Allergy to fish (finding)	54955003, 417532002	54955003, 417532002	0
фрукт	Food	Allergy to fruit (finding)	91932007	0	1
Фруктоза	Food	Fructose (substance)	58202007	58202007	0
Фундук	Food	Allergy to hazelnut (finding)	712840004	0	1
халва	Food	Halva (substance)	229893009	229893009	0
Хамса	Food	Anchovy (substance)	735337006	735337006	0
Хек	Food	Hake (substance)	227066004	227066004	0
хлеб	Food	Bread (substance)	226559002	226559002	0
Хмель	Food	Humulus lupulus (organism)	70891004	70891004	0
Хмель обыкновенный	Food	Humulus lupulus (organism)	70891004	70891004	0
Хурма	Food	Diospyros virginiana (organism)	7701004	7701004	0
Цветная капуста	Food	Cauliflower (substance)	735336002	735336002	0
Цветная капуста отварная	Food	Cauliflower (substance)	735336002	735336002	0
Цветок мускатного ореха	Food	Nutmeg (substance)	735046009	735046009	0
Цикорий	Food	Chicory (substance)	726761001	726761001	0
Цитронелла	Food	Citronella oil (substance)	12358005	12358005	0
цитрус	Food	Allergy to citrus fruit (finding)	418085001	0	1
цитрусовые	Food	Allergy to citrus fruit (finding)	418085001	0	1
Цукини	Food	Zucchini (substance)	227239005	227239005	0
цуккини	Food	Zucchini (substance)	227239005	227239005	0
Чабер	Food	Savory food (substance)	230052002	230052002	0
Чай	Food	Tea (substance)	16313001	16313001	0
Чай зеленый листовой	Food	Green tea (substance)	412194001	412194001	0
Чай из гибискуса	Food	Tea (substance)	16313001	16313001	0
Чай из фенхеля	Food	Fennel (substance), Tea (substance)	227396003, 16313001	227396003, 16313001	0
Чай из шалфея	Food	Sage (substance), Tea (substance)	227411006, 16313001	227411006, 16313001	0
Чай черный байховый	Food	Black tea (substance)	226476000	226476000	0
чеддер	Food	Cheddar cheese (substance)	226820002	226820002	0
черемуха	Food	Chokecherry (substance)	771581000	771581000	0
Черёмуха	Food	Chokecherry (substance)	771581000	771581000	0
Черемша	Food	Allium (organism)	39293009	39293009	0
Черешня 	Food	Allergy to cherry (finding)	418051002	0	1
Черешня жёлтая	Food	Allergy to cherry (finding)	418051002	0	1
Черная смородина	Food	Currants (substance)	227453007	227453007	0
Черника	Food	Blueberries (substance)	412061001	412061001	0
чернослив	Food	Damson (substance)	227422005	227422005	0
Черный перец	Food	Black pepper (substance)	412060000	412060000	0
Черный чай	Food	Black tea (substance)	226476000	226476000	0
Чеснок	Food	Garlic (substance)	735030001	735030001	0
честер	Food	Allergy to cheese (finding)	300914000	300914000	0
Чечевица	Food	Lentils (substance)	227350006	227350006	0
Чили	Food	Chili pepper (substance)	710040007	710040007	0
чипсы	Food	French fries (substance)	227282006	227282006	0
Шалфей	Food	Sage (substance)	227411006	227411006	0
шампанское	Food	 Sparkling white wine (substance)	6519000	6519000	0
Шампиньон	Food	Agaricus hortensis diagnostic allergen extract (product)	411616002	411616002	0
Шафран	Food	Saffron (substance)	735010000	735010000	0
швейцарский	Food	Allergy to cheese (finding)	300914000	300914000	0
Шиповник	Food	Rose hip (substance)	710226003	710226003	0
Шнитт – лук	Food	Allium schoenoprasum (organism)	24833007	24833007	0
Шоколад	Food	Allergy to chocolate (finding)	300912001	0	1
Шпинат	Food	Spinach (substance)	256329006	256329006	0
Щавель	Food	Rumex (organism)	17272006	17272006	0
Щука	Food	Belonesox belizanus (organism), Allergy to fish (finding)	43616001, 417532002	43616001, 417532002	0
эдам	Food	Edam cheese (substance)	226828009	226828009	0
экзотический фрукт	Food	Allergy to fruit (finding)	91932007	0	1
эмменталер	Food	Emmental cheese (substance)	226830006	226830006	0
эндивий	Food	Endive (substance)	726758002	726758002	0
Эстрагон	Food	Tarragon (substance)	227412004	227412004	0
Яблоко	Food	Allergy to apple (finding)	860604008	0	1
ягода	Food	Berry (substance)	63045006	63045006	0
язык	Food	Tongue structure (body structure)	21974007	21974007	0
Яичный белок	Food	Egg white (substance)	256443002	256443002	0
Яичный желток	Food	Egg yolk (substance)	256442007	256442007	0
Яичный порошок	Food	Dried egg (substance)	226881001	226881001	0
Яичный протеин	Food	Allergy to egg protein (finding)	213020009	0	1
яйцо	Food	Eggs (edible) (substance)	102263004	102263004	0
Яйцо перепелиное	Food	Lark quail (organism), Allergy to egg protein (finding)	52807003, 213020009	52807003, 213020009	0
Яйцо цельное	Food	Eggs (edible) (substance)	102263004	102263004	0
Ячменная крупа	Food	Allergy to barley (finding)	712841000	0	1
Ячменная мука	Food	Flour (substance), Allergy to barley (finding)	63766005, 712841000	63766005, 712841000	0
Ячмень	Food	Allergy to barley (finding)	712841000	0	1
Ячмень зерно	Food	Allergy to barley (finding)	712841000	0	1
Ячмень обыкновенный	Food	Allergy to barley (finding)	712841000	0	1
Aртишок	Food	Artichoke (substance)	227215000	227215000	0
чабрец	Food				
травы	Food				
абкм	Food				
